CONCEPT_ID,CONCEPT_NAME,NUM_PERSONS,PERCENT_PERSONS,RECORDS_PER_PERSON,PERCENT_PERSONS_NTILE,RECORDS_PER_PERSON_NTILE
40213227,"tetanus and diphtheria toxoids, adsorbed, preservative free, for adult use",2660,0.9874,2.8,1,1
1127433,Acetaminophen 325 MG Oral Tablet,2580,0.9577,3.6,1,1
40213160,"poliovirus vaccine, inactivated",2140,0.7944,3.7,1,1
1713671,Amoxicillin 250 MG / Clavulanate 125 MG Oral Tablet,2021,0.7502,1.9,1,1
19059056,Aspirin 81 MG Oral Tablet,1927,0.7153,2.3,1,1
1118084,celecoxib,1800,0.6682,1.0,1,5
40213296,"hepatitis A vaccine, adult dosage",1737,0.6448,1.8,1,1
40213306,"hepatitis B vaccine, adult dosage",1560,0.5791,1.2,1,3
1127078,Acetaminophen 160 MG Oral Tablet,1428,0.5301,1.5,1,2
40229134,Acetaminophen 21.7 MG/ML / Dextromethorphan Hydrobromide 1 MG/ML / doxylamine succinate 0.417 MG/ML Oral Solution,1393,0.5171,1.4,1,2
19078461,Ibuprofen 200 MG Oral Tablet,1280,0.4751,1.4,1,2
19133873,Penicillin V Potassium 250 MG Oral Tablet,1272,0.4722,1.4,1,2
40213260,"zoster vaccine, live",1140,0.4232,1.9,2,1
1115171,Naproxen sodium 220 MG Oral Tablet,947,0.3515,1.2,2,3
19133905,Penicillin V Potassium 500 MG Oral Tablet,856,0.3177,1.3,2,2
19006318,Penicillin G 375 MG/ML Injectable Solution,831,0.3085,1.4,2,2
1124300,Diclofenac,830,0.3081,1.0,2,5
40213201,"pneumococcal polysaccharide vaccine, 23 valent",714,0.2650,1.0,2,5
920300,Nitrofurantoin 5 MG/ML Oral Suspension,630,0.2338,1.3,2,3
40236824,Phenazopyridine hydrochloride 100 MG Oral Tablet,630,0.2338,1.3,2,3
19128065,{7 (Inert Ingredients 1 MG Oral Tablet) / 21 (Mestranol 0.05 MG / Norethindrone 1 MG Oral Tablet) } Pack [Norinyl 1+50 28 Day],605,0.2246,1.7,2,1
40213314,"Haemophilus influenzae type b vaccine, PRP-OMP conjugate",555,0.2060,2.5,2,1
40213198,"pneumococcal conjugate vaccine, 13 valent",453,0.1682,1.0,2,5
19129655,Ampicillin 100 MG/ML Injectable Solution,432,0.1604,1.1,2,4
